"","id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
"1",8,"Morera","02/03/2012 13:13","Medio (4 - 8 mts)",54,"Mediano",-68.8572185354,-32.895838834,5,"Residencial Sur",2423808.92355,0,"Bajo (<= 70cm)"
"2",22,"Fresno europeo","02/03/2012 12:53","Bajo (2 - 4 mts)",60,"Mediano",-68.8562696772,-32.8959249395,5,"Residencial Sur",2423808.92355,0,"Bajo (<= 70cm)"
"3",33,"Morera","01/03/2012 13:29","Medio (4 - 8 mts)",130,"Grande",-68.8554978524,-32.896116955,5,"Residencial Sur",2423808.92355,0,"Medio (70 - 150cm)"
"4",46,"Fresno europeo","01/03/2012 12:38","Bajo (2 - 4 mts)",16,"Chico",-68.8556066986,-32.8968926954,5,"Residencial Sur",2423808.92355,0,"Bajo (<= 70cm)"
"5",55,"Morera","01/03/2012 08:12","Medio (4 - 8 mts)",120,"Grande",-68.8564928055,-32.8968819132,5,"Residencial Sur",2423808.92355,0,"Medio (70 - 150cm)"
"6",64,"Fresno europeo","05/03/2012 10:39","Bajo (2 - 4 mts)",50,"Mediano",-68.8566631466,-32.8965007268,5,"Residencial Sur",2423808.92355,0,"Bajo (<= 70cm)"
"7",65,"Fresno europeo","05/03/2012 10:38","Bajo (2 - 4 mts)",60,"Mediano",-68.8566745934,-32.8964536752,5,"Residencial Sur",2423808.92355,0,"Bajo (<= 70cm)"
"8",72,"Fresno americano","02/03/2012 13:43","Bajo (2 - 4 mts)",18,"Chico",-68.8570207182,-32.8961433254,5,"Residencial Sur",2423808.92355,0,"Bajo (<= 70cm)"
"9",75,"Fresno europeo","02/03/2012 13:38","Bajo (2 - 4 mts)",38,"Mediano",-68.8571470338,-32.8960945728,5,"Residencial Sur",2423808.92355,0,"Bajo (<= 70cm)"
"10",93,"Morera","29/02/2012 10:46","Medio (4 - 8 mts)",140,"Grande",-68.8559831011,-32.9019032972,5,"Residencial Sur",2423808.92355,0,"Medio (70 - 150cm)"
"11",99,"Pltano","29/02/2012 10:32","Bajo (2 - 4 mts)",160,"Grande",-68.8562045722,-32.9017241239,5,"Residencial Sur",2423808.92355,0,"Alto (151 - 200cm)"
"12",106,"Perenne","29/02/2012 10:12","Bajo (2 - 4 mts)",100,"Grande",-68.8567481144,-32.901717693,5,"Residencial Sur",2423808.92355,0,"Medio (70 - 150cm)"
"13",117,"Acer","29/02/2012 10:43","Medio (4 - 8 mts)",80,"Grande",-68.8565642207,-32.8636422827,6,"Residencial Norte",2694682.37982,0,"Medio (70 - 150cm)"
"14",126,"Jacarand","29/02/2012 10:26","Bajo (2 - 4 mts)",46,"Mediano",-68.8569444054,-32.8640397021,6,"Residencial Norte",2694682.37982,0,"Bajo (<= 70cm)"
"15",132,"Paraiso sombrilla","29/02/2012 10:15","Medio (4 - 8 mts)",100,"Grande",-68.8574609712,-32.8640650829,6,"Residencial Norte",2694682.37982,0,"Medio (70 - 150cm)"
"16",153,"Jacarand","27/02/2012 17:51","Medio (4 - 8 mts)",56,"Mediano",-68.8576246578,-32.8641856357,6,"Residencial Norte",2694682.37982,0,"Bajo (<= 70cm)"
"17",168,"Paraiso","26/02/2012 20:01","Bajo (2 - 4 mts)",40,"Mediano",-68.8566239237,-32.8642132741,6,"Residencial Norte",2694682.37982,0,"Bajo (<= 70cm)"
"18",185,"Aguaribay","24/02/2012 11:27","Medio (4 - 8 mts)",130,"Grande",-68.8575229985,-32.8646301785,6,"Residencial Norte",2694682.37982,0,"Medio (70 - 150cm)"
"19",188,"Paraiso sombrilla","24/02/2012 11:23","Bajo (2 - 4 mts)",100,"Grande",-68.857935699,-32.8646507998,6,"Residencial Norte",2694682.37982,0,"Medio (70 - 150cm)"
"20",190,"Paraiso sombrilla","24/02/2012 11:14","Bajo (2 - 4 mts)",60,"Mediano",-68.8580625525,-32.8646558255,6,"Residencial Norte",2694682.37982,0,"Bajo (<= 70cm)"
"21",195,"Fresno americano","24/02/2012 11:04","Bajo (2 - 4 mts)",22,"Mediano",-68.8582956045,-32.8646687008,6,"Residencial Norte",2694682.37982,0,"Bajo (<= 70cm)"
"22",199,"Fresno americano","24/02/2012 10:41","Bajo (2 - 4 mts)",28,"Mediano",-68.8584021085,-32.8644803013,6,"Residencial Norte",2694682.37982,0,"Bajo (<= 70cm)"
"23",208,"Olmo bola","06/03/2012 10:17","Medio (4 - 8 mts)",65,"Grande",-68.8393090184,-32.8703372173,4,"Cuarta Oeste",1173332.70145,0,"Bajo (<= 70cm)"
"24",211,"Fresno americano","06/03/2012 10:13","Medio (4 - 8 mts)",40,"Mediano",-68.8392752324,-32.8702071153,4,"Cuarta Oeste",1173332.70145,1,"Bajo (<= 70cm)"
"25",213,"Morera","06/03/2012 10:05","Alto (> 8 mts)",180,"Grande",-68.839244618,-32.8700981206,4,"Cuarta Oeste",1173332.70145,0,"Alto (151 - 200cm)"
"26",217,"Fresno europeo","06/03/2012 10:00","Bajo (2 - 4 mts)",18,"Chico",-68.8388182088,-32.8699721589,4,"Cuarta Oeste",1173332.70145,0,"Bajo (<= 70cm)"
"27",223,"Fresno europeo","06/03/2012 09:48","Muy bajo (1 - 2 mts)",16,"Chico",-68.8383855905,-32.8699559094,4,"Cuarta Oeste",1173332.70145,0,"Bajo (<= 70cm)"
"28",233,"Morera","06/03/2012 09:34","Medio (4 - 8 mts)",70,"Grande",-68.838138476,-32.8703616535,4,"Cuarta Oeste",1173332.70145,1,"Bajo (<= 70cm)"
"29",245,"Pltano","06/03/2012 09:16","Alto (> 8 mts)",165,"Grande",-68.8389966337,-32.8705933864,4,"Cuarta Oeste",1173332.70145,0,"Alto (151 - 200cm)"
"30",265,"Olmo bola","07/03/2012 11:12","Medio (4 - 8 mts)",100,"Grande",-68.8224916781,-32.8667139353,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio (70 - 150cm)"
"31",284,"Morera","06/03/2012 10:47","Alto (> 8 mts)",110,"Grande",-68.8218138388,-32.8677742263,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio (70 - 150cm)"
"32",291,"Morera","06/03/2012 10:38","Alto (> 8 mts)",115,"Grande",-68.8222434259,-32.8677637637,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio (70 - 150cm)"
"33",313,"Fresno europeo","05/03/2012 12:52","Medio (4 - 8 mts)",35,"Mediano",-68.8218158077,-32.8671278738,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo (<= 70cm)"
"34",331,"Fresno americano","07/03/2012 10:18","Bajo (2 - 4 mts)",20,"Chico",-68.8205821625,-32.8678083236,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo (<= 70cm)"
"35",335,"Jacarand","07/03/2012 10:06","Medio (4 - 8 mts)",48,"Mediano",-68.8208082932,-32.867801711,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo (<= 70cm)"
"36",337,"Morera","07/03/2012 09:56","Medio (4 - 8 mts)",80,"Grande",-68.8209340192,-32.8677989785,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio (70 - 150cm)"
"37",339,"Morera","07/03/2012 09:53","Bajo (2 - 4 mts)",36,"Mediano",-68.8211035386,-32.8677955611,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo (<= 70cm)"
"38",341,"Morera","07/03/2012 09:50","Medio (4 - 8 mts)",110,"Grande",-68.8212466236,-32.8677897522,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio (70 - 150cm)"
"39",348,"Paraiso sombrilla","07/03/2012 09:34","Bajo (2 - 4 mts)",75,"Grande",-68.8212900713,-32.8673360267,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio (70 - 150cm)"
"40",351,"Morera","07/03/2012 09:28","Medio (4 - 8 mts)",150,"Grande",-68.8212753436,-32.8671879718,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio (70 - 150cm)"
"41",353,"Morera","07/03/2012 09:25","Medio (4 - 8 mts)",120,"Grande",-68.8210835284,-32.8671501528,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio (70 - 150cm)"
"42",383,"Fresno europeo","05/03/2012 11:55","Bajo (2 - 4 mts)",30,"Mediano",-68.8194570707,-32.8678466509,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo (<= 70cm)"
"43",386,"Fresno americano","05/03/2012 11:52","Bajo (2 - 4 mts)",15,"Chico",-68.8196667326,-32.8678372655,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo (<= 70cm)"
"44",387,"Morera","05/03/2012 11:46","Medio (4 - 8 mts)",60,"Mediano",-68.8197693947,-32.8678320132,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo (<= 70cm)"
"45",390,"Fresno europeo","05/03/2012 11:40","Bajo (2 - 4 mts)",25,"Mediano",-68.8199619514,-32.8678269137,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo (<= 70cm)"
"46",393,"Morera","05/03/2012 11:30","Alto (> 8 mts)",110,"Grande",-68.8200503026,-32.8676485729,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio (70 - 150cm)"
"47",408,"Tilo","05/03/2012 11:05","Bajo (2 - 4 mts)",16,"Chico",-68.8193388506,-32.867224945,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo (<= 70cm)"
"48",419,"Paraiso sombrilla","06/03/2012 12:25","Medio (4 - 8 mts)",120,"Grande",-68.8179482172,-32.8673610858,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio (70 - 150cm)"
"49",439,"Morera","06/03/2012 11:07","Medio (4 - 8 mts)",120,"Grande",-68.8178122349,-32.8679937996,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio (70 - 150cm)"
"50",460,"Fresno europeo","07/03/2012 11:16","Medio (4 - 8 mts)",95,"Grande",-68.8215614725,-32.8682479964,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio (70 - 150cm)"
"51",480,"Fresno europeo","07/03/2012 10:44","Bajo (2 - 4 mts)",45,"Mediano",-68.8227131523,-32.8683163096,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo (<= 70cm)"
"52",490,"Morera","07/03/2012 09:53","Alto (> 8 mts)",180,"Grande",-68.8224689402,-32.8678808949,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Alto (151 - 200cm)"
"53",494,"Morera","07/03/2012 09:45","Alto (> 8 mts)",138,"Grande",-68.8222054302,-32.8678896719,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio (70 - 150cm)"
"54",518,"Morera","08/03/2012 18:33","Alto (> 8 mts)",160,"Grande",-68.8206328223,-32.8686337161,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Alto (151 - 200cm)"
"55",525,"Morera","08/03/2012 18:15","Muy bajo (1 - 2 mts)",3,"Chico",-68.8210766105,-32.868620589,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo (<= 70cm)"
"56",526,"Fresno europeo","08/03/2012 18:13","Muy bajo (1 - 2 mts)",3,"Chico",-68.8211496244,-32.8686195582,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo (<= 70cm)"
"57",530,"Paraiso sombrilla","08/03/2012 18:08","Muy bajo (1 - 2 mts)",8,"Chico",-68.8214554508,-32.868555019,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo (<= 70cm)"
"58",546,"Morera","08/03/2012 17:24","Muy bajo (1 - 2 mts)",4,"Chico",-68.8209250115,-32.867929494,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo (<= 70cm)"
"59",549,"Morera","08/03/2012 16:56","Medio (4 - 8 mts)",160,"Grande",-68.8206068619,-32.8679405681,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Alto (151 - 200cm)"
"60",562,"Morera","09/03/2012 07:42","Alto (> 8 mts)",130,"Grande",-68.8190189344,-32.8685681126,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio (70 - 150cm)"
"61",571,"Morera","08/03/2012 11:12","Alto (> 8 mts)",180,"Grande",-68.8194952426,-32.8686735668,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Alto (151 - 200cm)"
"62",581,"Morera","08/03/2012 10:51","Alto (> 8 mts)",120,"Grande",-68.820166945,-32.8686052795,4,"Cuarta Este Área Fundacional",1822015.85685,1,"Medio (70 - 150cm)"
"63",587,"Morera","08/03/2012 09:40","Alto (> 8 mts)",180,"Grande",-68.8201271983,-32.868305492,4,"Cuarta Este Área Fundacional",1822015.85685,1,"Alto (151 - 200cm)"
"64",598,"lamo blanco","08/03/2012 09:24","Medio (4 - 8 mts)",160,"Grande",-68.8198247698,-32.8679699476,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Alto (151 - 200cm)"
"65",599,"lamo blanco","08/03/2012 09:23","Medio (4 - 8 mts)",160,"Grande",-68.8197707782,-32.8679715352,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Alto (151 - 200cm)"
"66",601,"Morera","08/03/2012 09:21","Alto (> 8 mts)",160,"Grande",-68.8196436984,-32.8679746839,4,"Cuarta Este Área Fundacional",1822015.85685,1,"Alto (151 - 200cm)"
"67",603,"Morera","08/03/2012 09:19","Alto (> 8 mts)",110,"Grande",-68.8194929066,-32.8679770587,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Medio (70 - 150cm)"
"68",605,"Fresno europeo","08/03/2012 08:22","Medio (4 - 8 mts)",50,"Mediano",-68.8193692492,-32.8679812417,4,"Cuarta Este Área Fundacional",1822015.85685,0,"Bajo (<= 70cm)"
